Country_New,"Gross enrolment ratio, primary, both sexes (%)","Gross enrolment ratio, secondary, both sexes (%)","Gross enrolment ratio, tertiary, both sexes (%)",Gini index (World Bank estimate),Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),2015-2010 change survival between 30-70,2015-2010 change adolescent birth rate,2015-2010 change basic sanitation,2015-2010 change clean fuels,classification
Liechtenstein,0.2062377929690058,7.24416351318402,-2.476268768310497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Lithuania,3.3581924438479973,7.295661926268991,0.0,3.799999999999997,-0.8,-1.7000000000000002,-3.999999999999999,-1.4000000000000021,0.9000000000000004,2.719999999999999,0.0,1
Low & middle income,0.0,0.0,0.0,0.0,-7.1,-10.7,-9.500000000000007,0.0,0.0,0.0,0.0,1
Low income,1.097015380859986,2.582279205322209,0.96364021301269,0.0,-2.700000000000003,0.09999999999999432,1.7000000000000028,0.0,0.0,0.0,0.0,1
Lower middle income,-0.07434844970698862,7.763469696044901,4.9165306091308025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Luxembourg,0.0,0.0,0.0,2.3999999999999986,0.3,0.3,0.6,-1.9000000000000004,-1.9000000000000004,-0.030000000000001137,0.0,1
"Macao SAR, China",6.054550170898196,2.687469482421875,13.810775756836001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"Macedonia, FYR",7.619590759277415,-4.2088623046875,2.8660316467284943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Madagascar,4.316680908203011,0.0,0.0,0.0,0.0,0.0,0.0,-1.3999999999999986,0.0,1.8399999999999999,0.0,1
Malawi,8.718200683594006,10.339229583740305,0.0,0.0,0.0,0.0,0.0,-1.1999999999999993,-17.400000000000006,1.5999999999999979,0.0,1
Malaysia,1.6814041137690054,10.690238952636705,-11.060501098632795,0.0,0.0,0.0,0.0,-0.8999999999999986,0.0,0.7199999999999989,0.0,1
Maldives,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.799999999999999,-5.300000000000001,7.939999999999998,2.0,1
Mali,-7.233718872070199,2.534900665283203,0.0,0.0,0.0,0.0,0.0,-0.1999999999999993,0.0,7.43,0.0,1
Malta,4.409004211425895,-9.185752868652202,10.369640350341804,0.3999999999999986,-0.1,-0.19999999999999998,-0.2,-0.3999999999999986,-7.599999999999998,-0.020000000000010232,0.0,2
Marshall Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3400000000000034,10.0,1
Mauritania,6.15713500976598,10.2696304321289,1.18759965896606,0.0,0.0,0.0,0.0,0.10000000000000142,0.0,11.060000000000002,1.0,1
Mauritius,0.2503433227540057,6.449195861816406,2.9757499694824077,0.0,0.0,0.0,0.0,-1.3000000000000007,-7.199999999999999,1.2800000000000011,0.0,1
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40000000000000036,0.0,4.540000000000006,0.0,1
Micronesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000142,0.0,21.269999999999996,-1.0,1
Middle East & North Africa,0.0,0.0,0.0,0.0,2.3,1.5999999999999996,-0.7000000000000028,0.0,0.0,0.0,0.0,1
Middle income,-1.5526428222659945,7.023010253906293,8.0482788085938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Moldova,-1.127998352050696,-1.873008728027287,3.0681228637696023,-5.100000000000001,-0.5,-4.7,-12.8,0.0,0.0,0.0,0.0,1
Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Mongolia,-24.80061340332,-0.13021850585928973,14.743988037109396,0.0,0.0,0.0,0.0,-1.8999999999999986,0.0,2.4599999999999937,9.0,2
Montenegro,-12.469764709472713,-10.382621765136705,0.0,0.0,0.0,0.0,0.0,-1.2000000000000028,-5.600000000000001,3.990000000000009,-5.0,1
Morocco,2.430633544920994,0.0,13.7295598983764,0.0,0.0,0.0,0.0,-1.3000000000000007,0.0,6.440000000000012,0.0,2
Mozambique,-3.074897766112997,8.265789031982397,1.8519201278686594,0.0,0.0,0.0,0.0,-1.9000000000000021,0.0,6.010000000000002,0.0,1
Myanmar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8000000000000007,0.0,-1.9200000000000017,10.0,1
Namibia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5999999999999979,0.0,1.759999999999998,3.0,1
Nauru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,-0.020000000000010232,0.0,1
Nepal,-6.851943969725994,8.376232147216804,0.5356397628783984,0.0,0.0,0.0,0.0,-1.6000000000000014,-1.7999999999999972,14.880000000000003,6.0,1
Netherlands,-4.455116271972997,12.342041015625014,0.0,0.3999999999999986,0.1,0.0,0.2,-1.1999999999999993,-1.8999999999999995,-0.07000000000000739,0.0,1
New Zealand,-1.7277526855467045,-2.3600387573240056,1.413818359375,0.0,0.0,0.0,0.0,-1.4000000000000004,-10.5,0.0,0.0,1
Nicaragua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,5.0,3.0,1
Niger,9.110443115234304,7.231370925903297,0.0,0.0,0.0,0.0,0.0,-0.6000000000000014,-60.099999999999994,2.1899999999999995,0.0,2
Nigeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3999999999999986,7.0,3.3699999999999974,0.0,1
Niue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3900000000000006,-4.0,1
North Macedonia,0.0,0.0,0.0,-4.600000000000001,-4.9,-7.799999999999999,-9.400000000000002,0.0,0.0,0.0,0.0,1
Norway,1.4132080078129974,-0.24131011962900573,3.809463500976605,1.8000000000000007,-0.1,0.0,0.0,-2.0,-3.8000000000000007,0.0,0.0,1
Oman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.099999999999998,2.0999999999999996,2.930000000000007,0.0,1
Pakistan,-3.0314407348633097,8.6774101257325,0.0,2.8000000000000007,-4.300000000000001,-12.5,-9.199999999999989,-0.8000000000000007,0.0,7.57,5.0,1
Palau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23999999999999488,0.0,1
Panama,0.0,0.0,0.0,-0.8000000000000043,-2.5,-3.999999999999999,-6.4,-0.20000000000000107,2.299999999999997,6.900000000000006,2.0,1
Papua New Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6999999999999993,0.0,-3.0299999999999994,0.0,1
Paraguay,0.0,0.0,0.0,-3.3999999999999986,-3.5,-6.1,-9.8,-0.9000000000000021,0.0,5.460000000000008,7.0,1
Peru,-8.669914245604986,1.0444946289063068,0.0,-2.1000000000000014,-1.9,-4.5,-7.100000000000001,-0.7999999999999989,-1.1000000000000014,2.6200000000000045,8.0,1
Philippines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7000000000000028,0.0,5.560000000000002,3.0,1
Poland,0.0,0.0,0.0,-1.4000000000000021,0.10000000000000003,-0.19999999999999996,-0.3999999999999999,-1.0999999999999979,-3.0,3.4099999999999966,0.0,1
Portugal,-4.577117919921989,12.187240600585994,-3.7860183715819957,-0.29999999999999716,0.4,0.7000000000000001,0.8999999999999999,-0.9000000000000004,-6.0,0.6499999999999915,0.0,1
Qatar,-2.2840881347659945,-9.973625183106009,4.671199798583952,0.0,0.0,0.0,0.0,-0.9999999999999982,0.0,0.0,0.0,1
Republic of Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.299999999999999,-0.40000000000000013,0.0,0.0,1
Republic of Moldova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.1799999999999926,4.0,1
Romania,-7.481155395507798,-7.986480712890881,-14.588092803955007,0.3999999999999986,0.7999999999999998,0.8000000000000007,-0.9000000000000021,-1.8999999999999986,-4.700000000000003,3.740000000000009,-8.0,1
Russian Federation,0.0,0.0,0.0,-1.7999999999999972,-0.1,-0.4,-1.5,-4.5,-3.0,2.0900000000000034,-1.0,1
Rwanda,-9.790893554687983,3.9251098632812997,2.33112001419068,0.0,0.0,0.0,0.0,-0.8999999999999986,0.0,5.979999999999997,0.0,1
Saint Kitts and Nevis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Saint Lucia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3999999999999986,0.0,1.6600000000000108,0.0,1
