Country_New,"Gross enrolment ratio, primary, both sexes (%)","Gross enrolment ratio, secondary, both sexes (%)","Gross enrolment ratio, tertiary, both sexes (%)",Gini index (World Bank estimate),Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),2015-2010 change survival between 30-70,2015-2010 change adolescent birth rate,2015-2010 change basic sanitation,2015-2010 change clean fuels,classification
United Arab Emirates,16.64623260498101,0.0,0.0,0.0,0.0,0.0,0.0,-1.1000000000000014,0.0,0.01999999999999602,0.0,1
United Kingdom,0.0,0.0,0.0,-1.1999999999999957,0.0,0.0,0.0,-1.0,-8.799999999999999,-0.010000000000005116,0.0,1
United States,-0.45478057861301124,0.0,-8.432235717773395,1.2000000000000028,0.19999999999999996,0.0,0.0,-0.1999999999999993,-11.900000000000002,0.0,0.0,1
Upper middle income,-3.9020919799809946,8.223236083984304,13.943149566650405,0.0,-6.300000000000001,-13.1,-16.1,0.0,0.0,0.0,0.0,2
Uruguay,0.0,0.0,-7.567512512207095,-4.399999999999999,-0.1,-0.6000000000000001,-4.6,-0.5999999999999979,-3.1000000000000014,1.0,0.0,1
Uzbekistan,5.357795715332017,0.7424392700195028,-0.611020088195799,0.0,0.0,0.0,0.0,-1.6999999999999993,0.0,1.480000000000004,0.0,1
Vanuatu,-2.788063049317003,-4.716857910156193,0.0,0.0,0.0,0.0,0.0,-1.1999999999999993,0.0,-10.519999999999996,-3.0,1
Venezuela,-1.678749084472713,8.716247558593793,0.0,0.0,0.0,0.0,0.0,-0.1999999999999993,0.0,0.0,0.0,1
Viet,3.788948059082003,0.0,6.1479701995849005,0.0,0.0,0.0,0.0,-0.6999999999999993,0.0,9.060000000000002,10.0,1
West Bank and Gaza,3.6435852050780824,-2.6351852416992045,-3.570343017578111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
World,-0.9970245361329972,5.617935180664105,6.350467681884705,0.0,-5.9,-8.799999999999997,-7.799999999999997,0.0,0.0,0.0,0.0,2
Yemen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1999999999999993,0.0,5.600000000000001,0.0,1
Zambia,0.0,0.0,0.0,1.5,-7.099999999999994,-5.3999999999999915,-3.0,-1.8999999999999986,0.0,0.6500000000000021,-1.0,1
Zimbabwe,0.0,0.0,2.52767038345337,0.0,0.0,0.0,0.0,-1.7000000000000028,0.0,-3.479999999999997,-1.0,1
